GEO_ID,NAME,county_fips,population_total,median_age_years,female_pct
0500000US04007,"Gila County, Arizona",04007,53795,51.1,
0500000US04009,"Graham County, Arizona",04009,39232,34.9,
0500000US04011,"Greenlee County, Arizona",04011,9409,36.3,
0500000US04012,"La Paz County, Arizona",04012,16664,60.2,
0500000US04013,"Maricopa County, Arizona",04013,4559748,37.6,
0500000US04015,"Mohave County, Arizona",04015,220517,53.6,
0500000US04017,"Navajo County, Arizona",04017,108415,39.5,
0500000US04019,"Pima County, Arizona",04019,1060490,39.8,
0500000US04021,"Pinal County, Arizona",04021,469006,40.4,
0500000US04023,"Santa Cruz County, Arizona",04023,48926,37.9,
0500000US04025,"Yavapai County, Arizona",04025,245480,55.1,
0500000US04027,"Yuma County, Arizona",04027,211741,36.1,
0500000US05001,"Arkansas County, Arkansas",05001,16515,41.4,
0500000US05003,"Ashley County, Arkansas",05003,18429,42.8,
0500000US05005,"Baxter County, Arkansas",05005,42407,51.4,
0500000US05007,"Benton County, Arkansas",05007,303632,35.9,
0500000US05009,"Boone County, Arkansas",05009,38138,41.4,
0500000US05011,"Bradley County, Arkansas",05011,10208,39.0,
0500000US05013,"Calhoun County, Arkansas",05013,4704,44.1,
0500000US05015,"Carroll County, Arkansas",05015,28626,44.5,
0500000US05017,"Chicot County, Arkansas",05017,9765,43.2,
0500000US05019,"Clark County, Arkansas",05019,21125,32.0,
0500000US05021,"Clay County, Arkansas",05021,14280,42.7,
0500000US05023,"Cleburne County, Arkansas",05023,25226,49.5,
0500000US05025,"Cleveland County, Arkansas",05025,7453,44.1,
0500000US05027,"Columbia County, Arkansas",05027,22349,34.2,
0500000US05029,"Conway County, Arkansas",05029,21054,42.2,
0500000US05031,"Craighead County, Arkansas",05031,113249,34.5,
0500000US05033,"Crawford County, Arkansas",05033,61139,39.2,
0500000US05035,"Crittenden County, Arkansas",05035,47266,36.2,
0500000US05037,"Cross County, Arkansas",05037,16543,40.9,
0500000US05039,"Dallas County, Arkansas",05039,6242,45.4,
0500000US05041,"Desha County, Arkansas",05041,10786,41.6,
0500000US05043,"Drew County, Arkansas",05043,17046,37.7,
0500000US05045,"Faulkner County, Arkansas",05045,127717,34.1,
0500000US05047,"Franklin County, Arkansas",05047,17326,42.3,
0500000US05049,"Fulton County, Arkansas",05049,12302,47.6,
0500000US05051,"Garland County, Arkansas",05051,100035,45.5,
0500000US05053,"Grant County, Arkansas",05053,18242,40.5,
0500000US05055,"Greene County, Arkansas",05055,46432,38.0,
0500000US05057,"Hempstead County, Arkansas",05057,19508,41.2,
0500000US05059,"Hot Spring County, Arkansas",05059,33180,43.1,
0500000US05061,"Howard County, Arkansas",05061,12583,38.8,
0500000US05063,"Independence County, Arkansas",05063,38175,38.7,
0500000US05065,"Izard County, Arkansas",05065,14009,46.3,
0500000US05067,"Jackson County, Arkansas",05067,16712,40.2,
0500000US05069,"Jefferson County, Arkansas",05069,64802,39.7,
0500000US05071,"Johnson County, Arkansas",05071,26003,39.1,
0500000US05073,"Lafayette County, Arkansas",05073,6136,49.0,
0500000US05075,"Lawrence County, Arkansas",05075,16238,40.3,
0500000US05077,"Lee County, Arkansas",05077,8359,41.9,
0500000US05079,"Lincoln County, Arkansas",05079,12950,40.3,
0500000US05081,"Little River County, Arkansas",05081,11821,42.6,
0500000US05083,"Logan County, Arkansas",05083,21277,43.6,
0500000US05085,"Lonoke County, Arkansas",05085,75272,37.8,
0500000US05087,"Madison County, Arkansas",05087,17329,41.7,
0500000US05089,"Marion County, Arkansas",05089,17228,51.8,
0500000US05091,"Miller County, Arkansas",05091,42360,39.3,
0500000US05093,"Mississippi County, Arkansas",05093,39126,37.3,
0500000US05095,"Monroe County, Arkansas",05095,6589,45.5,
0500000US05097,"Montgomery County, Arkansas",05097,8553,50.8,
0500000US05099,"Nevada County, Arkansas",05099,8159,44.9,
0500000US05101,"Newton County, Arkansas",05101,7112,49.9,
0500000US05103,"Ouachita County, Arkansas",05103,22085,43.8,
0500000US05105,"Perry County, Arkansas",05105,10101,43.3,
0500000US05107,"Phillips County, Arkansas",05107,15450,40.9,
0500000US05109,"Pike County, Arkansas",05109,10115,41.2,
0500000US05111,"Poinsett County, Arkansas",05111,22543,40.0,
0500000US05113,"Polk County, Arkansas",05113,19361,44.3,
0500000US05115,"Pope County, Arkansas",05115,64131,37.0,
0500000US05117,"Prairie County, Arkansas",05117,8064,45.7,
0500000US05119,"Pulaski County, Arkansas",05119,399818,37.6,
0500000US05121,"Randolph County, Arkansas",05121,18838,39.6,
0500000US05123,"St. Francis County, Arkansas",05123,22400,40.1,
0500000US05125,"Saline County, Arkansas",05125,127479,40.5,
0500000US05127,"Scott County, Arkansas",05127,9816,42.2,
0500000US05129,"Searcy County, Arkansas",05129,7859,47.9,
0500000US05131,"Sebastian County, Arkansas",05131,128900,38.0,
0500000US05133,"Sevier County, Arkansas",05133,15712,34.7,
0500000US05135,"Sharp County, Arkansas",05135,17773,47.1,
0500000US05137,"Stone County, Arkansas",05137,12568,49.2,
0500000US05139,"Union County, Arkansas",05139,37900,41.4,
0500000US05141,"Van Buren County, Arkansas",05141,15998,49.6,
0500000US05143,"Washington County, Arkansas",05143,256765,32.5,
0500000US05145,"White County, Arkansas",05145,77838,38.8,
0500000US05147,"Woodruff County, Arkansas",05147,6026,45.3,
0500000US05149,"Yell County, Arkansas",05149,20134,39.3,
0500000US06001,"Alameda County, California",06001,1649473,39.0,
0500000US06003,"Alpine County, California",06003,1616,39.8,
0500000US06005,"Amador County, California",06005,41428,49.7,
0500000US06007,"Butte County, California",06007,207929,36.2,
0500000US06009,"Calaveras County, California",06009,46248,52.0,
0500000US06011,"Colusa County, California",06011,21984,35.9,
0500000US06013,"Contra Costa County, California",06013,1165012,40.5,
0500000US06015,"Del Norte County, California",06015,27107,39.9,
0500000US06017,"El Dorado County, California",06017,192662,46.1,
0500000US06019,"Fresno County, California",06019,1016725,33.5,
0500000US06021,"Glenn County, California",06021,28494,36.2,
0500000US06023,"Humboldt County, California",06023,134541,39.9,
0500000US06025,"Imperial County, California",06025,180202,33.2,
0500000US06027,"Inyo County, California",06027,18739,45.5,
0500000US06029,"Kern County, California",06029,915075,32.7,
0500000US06031,"Kings County, California",06031,153298,32.5,
0500000US06033,"Lake County, California",06033,68152,44.1,
0500000US06035,"Lassen County, California",06035,30356,38.3,
0500000US06037,"Los Angeles County, California",06037,9808667,38.2,
0500000US06039,"Madera County, California",06039,160940,34.6,
0500000US06041,"Marin County, California",06041,257969,47.4,
0500000US06043,"Mariposa County, California",06043,17082,51.2,
0500000US06045,"Mendocino County, California",06045,90244,44.1,
0500000US06047,"Merced County, California",06047,290201,31.8,
0500000US06049,"Modoc County, California",06049,8600,47.5,
0500000US06051,"Mono County, California",06051,13148,41.5,
0500000US06053,"Monterey County, California",06053,437613,35.5,
0500000US06055,"Napa County, California",06055,134869,42.9,
0500000US06057,"Nevada County, California",06057,102481,50.1,
0500000US06059,"Orange County, California",06059,3165820,39.4,
0500000US06061,"Placer County, California",06061,419156,42.5,
0500000US06063,"Plumas County, California",06063,19423,52.0,
0500000US06065,"Riverside County, California",06065,2478600,37.0,
0500000US06067,"Sacramento County, California",06067,1594006,37.5,
0500000US06069,"San Benito County, California",06069,67290,36.1,
0500000US06071,"San Bernardino County, California",06071,2197104,34.7,
0500000US06073,"San Diego County, California",06073,3288774,37.3,
0500000US06075,"San Francisco County, California",06075,830235,40.0,
0500000US06077,"San Joaquin County, California",06077,797334,35.4,
0500000US06079,"San Luis Obispo County, California",06079,281555,40.4,
0500000US06081,"San Mateo County, California",06081,742340,40.9,
0500000US06083,"Santa Barbara County, California",06083,443701,34.6,
0500000US06085,"Santa Clara County, California",06085,1902047,38.1,
0500000US06087,"Santa Cruz County, California",06087,264926,39.8,
0500000US06089,"Shasta County, California",06089,181436,41.7,
0500000US06091,"Sierra County, California",06091,2746,54.7,
0500000US06093,"Siskiyou County, California",06093,43466,47.2,
0500000US06095,"Solano County, California",06095,451918,39.2,
0500000US06097,"Sonoma County, California",06097,485040,42.9,
0500000US06099,"Stanislaus County, California",06099,553990,34.9,
0500000US06101,"Sutter County, California",06101,98857,36.5,
0500000US06103,"Tehama County, California",06103,65167,40.0,
0500000US06105,"Trinity County, California",06105,15860,54.9,
0500000US06107,"Tulare County, California",06107,478693,32.1,
0500000US06109,"Tuolumne County, California",06109,54498,48.4,
0500000US06111,"Ventura County, California",06111,837469,39.6,
0500000US06113,"Yolo County, California",06113,220564,32.1,
0500000US06115,"Yuba County, California",06115,84507,34.2,
0500000US08001,"Adams County, Colorado",08001,530225,34.8,
0500000US08003,"Alamosa County, Colorado",08003,16581,33.2,
0500000US08005,"Arapahoe County, Colorado",08005,659844,37.3,
0500000US08007,"Archuleta County, Colorado",08007,13900,52.1,
