rank,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,precision_mean,recall_mean,f1_mean,brier_mean
1,lightgbm,0.9559126984126983,0.06123345051794059,0.9150264550264551,0.11523064465203788,0.8300000000000001,0.7761904761904762,0.7926406926406926,0.10571067100785078
2,random_forest,0.9293849206349207,0.061692008873157504,0.8846897546897546,0.10765441869881727,0.8866666666666667,0.6476190476190476,0.7412121212121212,0.09723346681461682
3,logistic_regression,0.8989682539682541,0.032874714935435825,0.7690873015873015,0.08349643901866821,0.67,0.780952380952381,0.6954545454545455,0.1309446600608351
