county_fips,state_fips,tract_count,population_2020_sum,households_without_vehicle_count_sum,snap_households_count_sum,driving_low_access_population_beyond_1mi_10mi_count_sum,driving_no_vehicle_households_beyond_1mi_count_sum,driving_snap_households_beyond_1mi_count_sum,straight_low_access_population_beyond_1mi_10mi_count_sum,straight_no_vehicle_households_beyond_1mi_count_sum,straight_snap_households_beyond_1mi_count_sum,urban_tract_count,low_income_tract_tract_count,driving_low_income_low_access_tract_count,driving_low_vehicle_access_tract_count,straight_low_income_low_access_tract_count,straight_low_vehicle_access_tract_count
01091,01,8,19323,806.0,1863.0,3561,528.0,1231.0,2144,454.0,1077.0,2,6,1.0,3.0,1.0,3.0
01093,01,11,29341,442.0,1841.0,514,330.0,1414.0,0,277.0,1207.0,0,7,0.0,0.0,0.0,0.0
01095,01,26,97612,1588.0,4512.0,14890,1058.0,2952.0,7638,814.0,2197.0,6,7,2.0,4.0,2.0,2.0
01097,01,135,414809,9646.0,27937.0,60092,2003.0,7526.0,22826,1139.0,4243.0,103,69,13.0,12.0,6.0,4.0
01099,01,9,19772,313.0,1030.0,2475,217.0,693.0,682,168.0,519.0,1,6,2.0,0.0,0.0,0.0
01101,01,71,228954,5990.0,18479.0,48105,1015.0,3258.0,16767,471.0,1481.0,58,37,6.0,7.0,0.0,1.0
01103,01,31,123421,2333.0,6004.0,25045,987.0,2682.0,9856,618.0,1667.0,19,9,2.0,2.0,0.0,1.0
01105,01,4,8511,274.0,1151.0,1058,197.0,849.0,412,162.0,703.0,0,4,2.0,1.0,0.0,1.0
01107,01,6,19123,481.0,1253.0,1112,371.0,969.0,243,329.0,867.0,0,4,0.0,0.0,0.0,0.0
01109,01,11,33009,717.0,2135.0,2132,457.0,1282.0,248,339.0,998.0,2,7,0.0,3.0,0.0,2.0
01111,01,6,21967,410.0,1741.0,59,277.0,1298.0,0,243.0,1151.0,0,4,0.0,1.0,0.0,1.0
01113,01,18,59183,1922.0,4814.0,10045,718.0,1932.0,1491,389.0,1036.0,11,14,7.0,5.0,1.0,4.0
01115,01,24,91103,1060.0,3851.0,5486,766.0,2829.0,2250,543.0,2072.0,3,7,0.0,1.0,0.0,0.0
01117,01,55,223024,2179.0,4014.0,80021,1413.0,2721.0,38995,821.0,1811.0,27,3,1.0,2.0,0.0,1.0
01119,01,5,12345,458.0,1471.0,1780,296.0,973.0,387,234.0,825.0,0,4,1.0,1.0,0.0,1.0
01121,01,24,82149,2315.0,5717.0,10232,1389.0,3612.0,7378,1022.0,2729.0,8,14,4.0,7.0,2.0,6.0
01123,01,12,41311,989.0,2264.0,2320,633.0,1531.0,883,517.0,1187.0,1,5,1.0,1.0,1.0,1.0
01125,01,59,227036,5180.0,9798.0,45237,962.0,2747.0,15324,377.0,1378.0,42,28,4.0,7.0,2.0,2.0
01127,01,20,65342,1257.0,3632.0,3778,892.0,2525.0,929,663.0,1838.0,2,12,1.0,3.0,1.0,3.0
01129,01,5,15388,304.0,821.0,1563,276.0,758.0,82,261.0,716.0,0,2,0.0,1.0,0.0,1.0
01131,01,5,10600,400.0,1427.0,1797,355.0,1295.0,167,321.0,1192.0,0,4,2.0,2.0,0.0,1.0
01133,01,8,23540,466.0,1377.0,648,403.0,1198.0,0,354.0,1058.0,0,4,0.0,2.0,0.0,1.0
02013,02,1,3420,231.0,152.0,361,110.0,72.0,358,48.0,32.0,0,1,0.0,1.0,0.0,1.0
02016,02,2,5232,51.0,46.0,962,37.0,32.0,803,27.0,22.0,0,1,1.0,0.0,1.0,0.0
02020,02,61,291247,6355.0,9473.0,86147,923.0,1152.0,51028,339.0,402.0,57,17,2.0,10.0,2.0,3.0
02050,02,3,18666,2784.0,2047.0,9421,2029.0,1475.0,1296,1013.0,739.0,0,2,2.0,3.0,1.0,3.0
02060,02,1,844,22.0,15.0,146,18.0,12.0,0,15.0,10.0,0,0,0.0,0.0,0.0,0.0
02063,02,2,7102,191.0,281.0,707,99.0,153.0,362,79.0,125.0,0,0,0.0,0.0,0.0,0.0
02066,02,1,2617,73.0,155.0,1708,69.0,146.0,1174,59.0,126.0,0,0,0.0,0.0,0.0,0.0
02068,02,1,1619,70.0,17.0,1249,70.0,17.0,1176,67.0,16.0,0,0,0.0,0.0,0.0,0.0
02070,02,2,4857,496.0,391.0,2521,454.0,354.0,711,219.0,173.0,0,1,1.0,1.0,1.0,1.0
02090,02,22,95655,1664.0,2467.0,36329,624.0,1126.0,23041,457.0,843.0,14,5,3.0,4.0,2.0,2.0
02100,02,1,2080,36.0,42.0,358,20.0,23.0,337,17.0,19.0,0,0,0.0,0.0,0.0,0.0
02105,02,1,2365,264.0,154.0,543,173.0,101.0,213,143.0,84.0,0,0,0.0,1.0,0.0,1.0
02110,02,6,32255,1255.0,840.0,4212,481.0,392.0,2111,331.0,265.0,3,0,0.0,3.0,0.0,2.0
02122,02,14,58799,1189.0,2329.0,13059,837.0,1667.0,7772,651.0,1320.0,2,2,2.0,3.0,1.0,3.0
02130,02,5,13948,602.0,477.0,1092,137.0,142.0,39,55.0,76.0,2,0,0.0,1.0,0.0,0.0
02150,02,5,13101,353.0,267.0,2867,170.0,97.0,788,141.0,74.0,3,3,0.0,1.0,0.0,1.0
02158,02,1,8368,1589.0,984.0,6427,1287.0,797.0,17,50.0,31.0,0,1,1.0,1.0,0.0,1.0
02164,02,1,1476,141.0,95.0,1476,141.0,95.0,839,100.0,68.0,0,1,1.0,1.0,1.0,1.0
02170,02,24,107081,1519.0,3741.0,35979,1067.0,2933.0,23528,739.0,2196.0,8,6,4.0,3.0,4.0,2.0
02180,02,2,10046,1573.0,828.0,3217,783.0,414.0,466,305.0,158.0,0,1,1.0,2.0,0.0,2.0
02185,02,3,11031,844.0,320.0,3398,192.0,73.0,2809,26.0,10.0,0,1,1.0,2.0,0.0,0.0
02188,02,2,7793,1179.0,654.0,4697,883.0,522.0,513,107.0,63.0,0,1,1.0,1.0,1.0,1.0
02195,02,1,3398,152.0,104.0,270,78.0,53.0,89,54.0,37.0,0,0,0.0,1.0,0.0,0.0
02198,02,4,5753,262.0,396.0,1811,187.0,284.0,1699,164.0,251.0,0,2,1.0,1.0,1.0,1.0
02220,02,2,8458,378.0,258.0,3841,100.0,110.0,2499,41.0,69.0,2,0,0.0,1.0,0.0,0.0
02230,02,1,1240,45.0,12.0,21,13.0,3.0,13,9.0,2.0,0,0,0.0,0.0,0.0,0.0
02240,02,2,6808,165.0,214.0,1780,139.0,178.0,1383,127.0,165.0,0,1,1.0,1.0,1.0,1.0
02275,02,1,2127,85.0,83.0,184,40.0,39.0,107,33.0,33.0,0,1,0.0,0.0,0.0,0.0
02282,02,1,662,28.0,11.0,38,11.0,4.0,29,10.0,4.0,0,0,0.0,0.0,0.0,0.0
02290,02,4,5343,849.0,514.0,3296,588.0,351.0,1521,334.0,209.0,0,4,4.0,4.0,2.0,3.0
